year,gender,majorityStatus,citizenship,isForcedLabour,isSexualExploit,isOtherExploit,isSexAndLabour,isForcedMarriage,isForcedMilitary,isOrganRemoval,typeOfExploitConcatenated,CountryOfExploitation
2002,Female,Adult,CO,0,1,0,0,-99,0,0,Sexual exploitation,-99
2002,Female,Adult,CO,0,1,0,0,-99,0,0,Sexual exploitation,-99
2002,Female,Adult,CO,0,1,0,0,-99,0,0,Sexual exploitation,-99
2002,Female,Adult,CO,0,1,0,0,-99,0,0,Sexual exploitation,-99
2002,Female,Adult,CO,0,1,0,0,-99,0,0,Sexual exploitation,-99
2002,Female,Adult,CO,0,1,0,0,-99,0,0,Sexual exploitation,-99
2002,Female,Adult,CO,0,1,0,0,-99,0,0,Sexual exploitation,-99
2002,Female,Adult,CO,0,1,0,0,-99,0,0,Sexual exploitation,-99
2002,Female,Adult,CO,0,1,0,0,-99,0,0,Sexual exploitation,-99
2002,Female,Adult,CO,0,1,0,0,-99,0,0,Sexual exploitation,-99
2002,Female,Adult,CO,0,1,0,0,-99,0,0,Sexual exploitation,-99
2002,Female,Adult,MD,0,0,0,0,0,0,0,-99,-99
2002,Female,Adult,MD,0,0,0,0,0,0,0,-99,-99
2002,Female,Adult,MD,0,0,0,0,0,0,0,-99,-99
2002,Female,Adult,MD,0,0,0,0,0,0,0,-99,-99
2002,Female,Adult,MD,0,0,0,0,0,0,0,-99,-99
2002,Female,Adult,MD,0,0,0,0,0,0,0,-99,-99
2002,Female,Adult,MD,0,0,0,0,0,0,0,-99,-99
2002,Female,Adult,MD,0,0,0,0,0,0,0,-99,-99
2002,Female,Adult,MD,0,0,0,0,0,0,0,-99,-99
2002,Female,Adult,MD,0,0,0,0,0,0,0,-99,-99
2002,Female,Adult,MD,0,0,0,0,0,0,0,-99,-99
2002,Female,Adult,MD,0,0,0,0,0,0,0,-99,-99
2002,Female,Adult,MD,0,1,0,0,0,0,0,Sexual exploitation,-99
2002,Female,Adult,MD,0,1,0,0,0,0,0,Sexual exploitation,-99
2002,Female,Adult,MD,0,1,0,0,0,0,0,Sexual exploitation,-99
2002,Female,Adult,MD,0,1,0,0,0,0,0,Sexual exploitation,-99
2002,Female,Adult,MD,0,1,0,0,0,0,0,Sexual exploitation,-99
2002,Female,Adult,MD,0,1,0,0,0,0,0,Sexual exploitation,-99
2002,Female,Adult,MD,0,1,0,0,0,0,0,Sexual exploitation,-99
